name,team,position,ranking
Lamptey,BHA,DEF,298
Coleman,EVE,DEF,299
Bobb,MCI,MID,300
Lallana,BHA,MID,301
Nkunku,CHE,FWD,302
Zanka,BRE,DEF,303
Niakhat?,NFO,DEF,304
H.Bueno,WOL,DEF,305
G.Montiel,NFO,DEF,306
Trusty,SHU,DEF,307
Aarons,BOU,DEF,308
E.Royal,TOT,DEF,309
Tete,FUL,DEF,310
Danjuma,EVE,MID,311
Webster,BHA,DEF,312
Brooks,SHU,MID,313
Amrabat,MUN,MID,314
Ghoddos,BRE,MID,315
Smith Rowe,ARS,MID,316
Assignon,BUR,DEF,317
Origi,NFO,FWD,318
Sangar?,NFO,MID,319
Martial,MUN,FWD,320
Osula,SHU,FWD,321
Boubacar Traore,WOL,MID,322
Fabianski,WHU,GK,323
Lenglet,AVL,DEF,324
Chilwell,CHE,DEF,325
Thomas,ARS,MID,326
F?bio Vieira,ARS,MID,327
Mount,MUN,MID,328
Amad,MUN,MID,329
Ortega Moreno,MCI,GK,330
Skipp,TOT,MID,331
Matip,LIV,DEF,332
C.Doucour?,CRY,MID,333
Moder,BHA,MID,334
Ramsdale,ARS,GK,335
Enciso,BHA,MID,336
M.Tr?sor,BUR,MID,337
Gilchrist,CHE,DEF,338
Andr? Gomes,EVE,MID,339
Travers,BOU,GK,340
Arblaster,SHU,MID,341
Ogbonna,WHU,DEF,342
Baptiste,BRE,MID,343
Bentley,WOL,GK,344
Keane,EVE,DEF,345
Dobbin,EVE,MID,346
Olsen,AVL,GK,347
Johnson,WHU,DEF,348
Ritchie,NEW,MID,349
Mepham,BOU,DEF,350
Nelson,ARS,MID,351
Y. Chermiti,EVE,FWD,352
Chukwuemeka,CHE,MID,353
Grbi?,SHU,GK,354
Est?ve,BUR,DEF,355
Ekdal,BUR,DEF,356
Martinez,MUN,DEF,357
Andersen,LUT,DEF,358
Dr?gu?in,TOT,DEF,359
Slimane,SHU,MID,360
Reyna,NFO,MID,361
Cornet,WHU,MID,362
S.Bueno,WOL,DEF,363
Lowe,SHU,DEF,364
Ugochukwu,CHE,MID,365
Bryan,TOT,MID,366
Riedewald,CRY,MID,367
Kouyat?,NFO,MID,368
Omobamidele,NFO,DEF,369
Onyedinma,LUT,MID,370
Tavares,NFO,DEF,371
Brewster,SHU,FWD,372
Casadei,CHE,MID,373
Cresswell,WHU,DEF,374
Larouci,SHU,DEF,375
Iroegbunam,AVL,MID,376
Sergio G?mez,MCI,DEF,377
Benson,BUR,MID,378
Earthy,WHU,MID,379
Chirewa,WOL,MID,380
Ozoh,CRY,MID,381
Felipe,NFO,DEF,382
Delcroix,BUR,DEF,383
Fraser,WOL,FWD,384
Forson,MUN,MID,385
T.Davies,SHU,MID,386
Chambers,AVL,DEF,387
M.Elneny,ARS,MID,388
Ballo-Tour?,FUL,DEF,389
Barco,BHA,DEF,390
Adams,BOU,MID,391
Kambwala,MUN,DEF,392
Hill,BOU,DEF,393
Clark,LIV,MID,394
Dummett,NEW,DEF,395
Strakosha,BRE,GK,396
Faivre,BOU,MID,397
Hashioka,LUT,DEF,398
Offiah,BHA,DEF,399
Cork,BUR,MID,400
Ribeiro,NFO,FWD,401
Scarlett,TOT,FWD,402
Baker-Boaitey,BHA,MID,403
Massengo,BUR,MID,404
Kesler-Hayden,AVL,DEF,405
Wheatley,MUN,FWD,406
C?dric,ARS,DEF,407
White,NEW,MID,408
McConnell,LIV,MID,409
Tomkins,CRY,DEF,410
Moore,TOT,MID,411
Kellyman,AVL,MID,412
A.Murphy,NEW,DEF,413
Nelson,LUT,MID,414
Deivid,CHE,FWD,415
O¡¯Mahony,BHA,FWD,416
Gonz?lez,WOL,MID,417
Holgate,SHU,DEF,418
Bajcetic,LIV,MID,419
Jebbison,SHU,FWD,420
Munroe,AVL,DEF,421
Acheampong,CHE,DEF,422
Egan,SHU,DEF,423
Curtis,SHU,DEF,424
Casey,WHU,DEF,425
Warrington,EVE,MID,426
Tauriainen,CHE,MID,427
Sadi,BOU,MID,428
Thiago,LIV,MID,429
Danns,LIV,FWD,430
Krul,LUT,GK,431
Curd,CHE,GK,432
McKenna,BOU,GK,433
Sharman-Lowe,CHE,GK,434
Vigouroux,BUR,GK,435
J.Virginia,EVE,GK,436
Altay,MUN,GK,437
J.Timber,ARS,DEF,438
Atom,BHA,DEF,439
Sturge,CHE,DEF,440
Jackson,MUN,DEF,441
Amass,MUN,DEF,442
Chigozie,LUT,DEF,443
Arthur,BRE,DEF,444
Hall,TOT,MID,445
Ojinnaka,WOL,MID,446
Hampson,SHU,MID,447
Dacosta Gonzalez,BOU,MID,448
Dyer,CHE,MID,449
Mathurin,CRY,MID,450
Chouchane,BHA,MID,451
Martins,LUT,MID,452
Harris,LUT,FWD,453
George,CHE,FWD,454
Holman,WOL,FWD,455
Johnson,LUT,DEF,456
Rod?k,FUL,GK,457
